Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Tysk,Hvad er hovedstaden i Tyskland?,100,Berlin,Hamburg,München,Köln
Tysk,Hvad hedder Tysklands største flod?,200,Rhinen,Elben,Donau,Main
Tysk,"Hvilken berømt tysker skrev ""Faust""?",300,Johann Wolfgang von Goethe,Friedrich Schiller,Thomas Mann,Bertolt Brecht
Tysk,Hvilket land fejrer genforening den 3. oktober?,400,Tyskland,Østrig,Schweiz,Liechtenstein
Tysk,Hvad hedder Tysklands nationalret med kål og pølser?,500,Currywurst,Sauerkraut,Bratwurst,Schnitzel
Tysk,Hvad hedder valutaen i Tyskland?,600,Euro,Mark,Franc,Krone
Tysk,Hvilken tysk bilfabrik har modellerne Golf og Passat?,700,Volkswagen,BMW,Mercedes,Opel
Tysk,"Hvad betyder det tyske ord ""Brot""?",800,Brød,Ost,Smør,Sukker
Tysk,Hvilken tysk by er kendt for Oktoberfest?,900,München,Berlin,Hamburg,Köln
Tysk,"Hvad hedder den tyske mur, der faldt i 1989?",1000,Berlinmuren,Jyllandsmuren,Maginotlinjen,Kina muren
Tysk,"Hvem komponerede ""Für Elise""?",1100,Ludwig van Beethoven,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Johannes Brahms
Tysk,Hvad hedder hovedstaden i Østrig?,1200,Wien,Bern,Zürich,München
Tysk,Hvilket land taler også tysk som officielt sprog?,1300,Schweiz,Belgien,Polen,Danmark
Tysk,"Hvad betyder det tyske ord ""Danke""?",1400,Tak,Hej,Farvel,Værsgo
Tysk,Hvilken tysk by er kendt for domkirken Kölnerdomen?,1500,Köln,Bonn,Dresden,Stuttgart
Tysk,Hvad hedder Tysklands højeste bjerg?,1600,Zugspitze,Großglockner,Watzmann,Mont Blanc
Tysk,Hvad hedder floden der løber gennem Hamburg?,1700,Elben,Donau,Neckar,Weser
Tysk,"Hvad betyder det tyske ord ""Apfel""?",1800,Æble,Pære,Appelsin,Druer
Tysk,"Hvem skrev romanen ""Die Verwandlung"" (Forvandlingen)?",1900,Franz Kafka,Hermann Hesse,Heinrich Böll,Günter Grass
Tysk,Hvilket land har byen Zürich?,2000,Schweiz,Østrig,Tyskland,Luxembourg
Tysk,"Hvad betyder det tyske ord ""Schule""?",2100,Skole,Stol,Sko,Taske
Tysk,Hvilket tysk eventyr bliver fortalt om Hans og Gretel?,2200,Brødrene Grimms eventyr,Andersen eventyr,Br’er Børne eventyr,Aesop’s fabler
Tysk,Hvad hedder kendt tysk julemarked i Nürnberg?,2300,Christkindlesmarkt,Oktoberfest,Weihnachtsfest,Ostermarkt
Tysk,Hvad hedder hovedstaden i Schweiz?,2400,Bern,Zürich,Basel,Luzern
Tysk,Hvilket tysk firma laver sportsudstyr med tre striber?,2500,Adidas,Nike,Puma,Reebok
Tysk,Hvad betyder det tyske ord “Wasser”?,2600,vand,vin,vejr,vej
Tysk,Hvad betyder “Guten Morgen”?,2700,godmorgen,godnat,farvel,tak
Tysk,Hvilken tysk by var delt af en mur under Den Kolde Krig?,2800,Berlin,Hamburg,Köln,Dresden
Tysk,Hvad betyder “Freund”?,2900,ven,fjende,fremmed,far
Tysk,Hvilket tysk ord betyder “skole”?,3000,Schule,Stuhl,Schuh,Schloss
