Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Opfindelser,Hvem forbindes ofte med telefonens opfindelse?,100,Alexander Graham Bell,Thomas Edison,Nikola Tesla,James Watt
Opfindelser,Hvem forbindes ofte med den praktiske glødelampe?,200,Thomas Edison,Benjamin Franklin,Isaac Newton,Tim Berners-Lee
Opfindelser,Hvem udviklede trykpressen med løse typer i Europa?,300,Johannes Gutenberg,Leonardo da Vinci,Galileo Galilei,Alfred Nobel
Opfindelser,Hvad er Marie Curie især kendt for?,400,forskning i radioaktivitet,opfindelsen af telefonen,opfindelsen af dynamit,opfindelsen af internettet
Opfindelser,Hvem opfandt World Wide Web?,500,Tim Berners-Lee,Bill Gates,Steve Jobs,Mark Zuckerberg
Opfindelser,Hvem byggede en af de første praktiske biler med benzinmotor?,600,Karl Benz,Henry Ford,James Watt,Guglielmo Marconi
Opfindelser,Hvem gennemførte den første motorflyvning i 1903?,700,Brødrene Wright,Charles Lindbergh,Amelia Earhart,Ferdinand Zeppelin
Opfindelser,Hvilken maskine forbindes James Watt især med forbedringer af?,800,dampmaskinen,telefonen,trykpressen,flyvemaskinen
Opfindelser,Hvem opfandt lynaflederen?,900,Benjamin Franklin,Thomas Edison,Nikola Tesla,Michael Faraday
Opfindelser,Hvilken medicin opdagede Alexander Fleming?,1000,penicillin,insulin,aspirin,morf in
Opfindelser,Hvem opfandt dynamitten?,1100,Alfred Nobel,Louis Pasteur,Enrico Fermi,Robert Oppenheimer
Opfindelser,Hvilket elektrisk system forbindes Nikola Tesla især med?,1200,vekselstrøm,damptryk,bogtryk,penicillin
Opfindelser,Hvem opfandt kuglepennen i moderne form?,1300,László Bíró,Charles Babbage,John Logie Baird,Samuel Morse
Opfindelser,Hvem opfandt pasteurisering?,1400,Louis Pasteur,Marie Curie,Alexander Fleming,Robert Koch
Opfindelser,Hvem tog patent på telefonen i 1876?,1500,Alexander Graham Bell,Samuel Morse,Guglielmo Marconi,Thomas Edison
Opfindelser,Hvem forbindes med radioens tidlige udvikling?,1600,Guglielmo Marconi,Tim Berners-Lee,James Watt,Johannes Gutenberg
Opfindelser,Hvem udviklede et tidligt luftfyldt cykeldæk?,1700,John Boyd Dunlop,Karl Benz,Henry Ford,Louis Pasteur
Opfindelser,Hvad var Johann Sebastian Bach især kendt for?,1800,at komponere musik,at opfinde telefonen,at opfinde radioen,at opdage penicillin
Opfindelser,Hvad er Albert Einstein især kendt for i fysik?,1900,relativitetsteorien,dynamit,trykpressen,telefonen
Opfindelser,Hvem var med til at grundlægge Facebook?,2000,Mark Zuckerberg,Bill Gates,Steve Jobs,Larry Page
