Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Biologi,Hvilket dyr er kendt for at være verdens hurtigste på land?,100,Gepard,Leopard,Løve,Gazelle
Biologi,Hvilket træ mister ikke sine blade om vinteren?,200,Ene,Eg,Birk,Bøg
Biologi,Hvad er den største art af bjørn?,300,Isbjørn,Brun bjørn,Panda,Koala
Biologi,Hvilket dyr kan flyve baglæns?,400,Kolibri,Svale,Flagermus,Hveps
Biologi,Hvilken del af blomsten producerer pollen?,500,Støvdrager,Frugtknude,Støvvej,Blade
Biologi,Hvilken art er kendt som menneskets nærmeste nulevende slægtning?,600,Chimpansen,Orangutang,Gorilla,Bonobo
Biologi,Hvilket dyr er et krybdyr?,700,Slange,Frø,Haj,Egern
Biologi,Hvilket havpattedyr bruger ekko-lokalisering til at jage?,800,Delfin,Sæl,Manat,Skildpadde
Biologi,Hvilken del af hjernen styrer balance og koordination?,900,Lillehjernen,Storhjernen,Hjernestammen,Hippocampus
Biologi,"Hvad kaldes den proces, hvormed en larve bliver til en sommerfugl?",1000,Forvandling,Moulting,Fotosyntese,Fission
Biologi,Hvilket dyr er et pungdyr?,1100,Kænguru,Egern,Pingvin,Bjergged
Biologi,"Hvad kaldes den struktur i cellen, der producerer energi?",1200,Mitokondrie,Ribosom,Lysosom,Golgiapparatet
Biologi,Hvilken plante danner kogler?,1300,Fyrretræ,Eg,Løn,Rose
Biologi,Hvad er den største fugl i verden?,1400,Struds,Albatros,Ørn,Kondor
Biologi,Hvilket dyr har sorte og hvide striber?,1500,Zebra,Tiger,Giraffe,Okapi
Biologi,"Hvad hedder den grønne farve i planter, der gør fotosyntese mulig?",1600,Chlorofyl,Hæmoglobin,Melanin,Keratin
Biologi,Hvilket dyr hører til rovdyrordenen?,1700,Løve,Ko,Gris,Ged
Biologi,"Hvad kaldes den videnskab, der studerer svampe?",1800,Mykologi,Botanik,Zoologi,Etnologi
Biologi,Hvad er det største organ i menneskekroppen?,1900,Huden,Leveren,Hjertet,Hjernen
Biologi,Hvilket dyr sover hængende med hovedet nedad?,2000,Flagermus,Koala,Pingvin,Egern
Biologi,Hvilket dyr er kendt for at have lang hals?,2100,Giraf,Elefant,Næsehorn,Hippopotamus
Biologi,"Hvad hedder den gruppe af dyr, der har exoskelet?",2200,Leddyr,Padder,Pattedyr,Fisk
Biologi,"Hvad kaldes en plante, der lever på andre planter uden at skade dem?",2300,Epifyt,Parasit,Symbiot,Nitrifikant
Biologi,Hvilket kattedyr er verdens mindste?,2400,Rustplettet kat,Løve,Tiger,Cheetah
Biologi,Hvilket havpattedyr er kendt for at danse i vandet og klappe med finnerne?,2500,Søløve,Hvalross,Narhval,Dugong
Biologi,Hvad kaldes dyr der både kan leve i vand og på land?,2600,Padder,Krybdyr,Fugle,Fisk
Biologi,Hvilken organismegruppe bruger gærer til at hæve brød?,2700,Svampe,Bakterier,Alger,Virus
Biologi,Hvad hedder arvelighedens molekyle?,2800,DNA,RNA,ATP,Protein
Biologi,Hvad kaldes dyr der kun spiser planter?,2900,Planteædere,Rovdyr,Altædere,Nedbrydere
Biologi,Hvilket organ renser blodet og danner urin?,3000,Nyrerne,Lungerne,Mavesækken,Milten
