Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Verdenskrig historie,I hvilket år begyndte Første Verdenskrig?,100,1914,1918,1939,1905
Verdenskrig historie,Hvad hed den tyske kejser under Første Verdenskrig?,200,Kejser Wilhelm II,Otto von Bismarck,Kejser Franz Joseph,Kejser Karl I
Verdenskrig historie,Hvilken begivenhed udløste Første Verdenskrig?,300,Mordet på Franz Ferdinand,Invasionen af Polen,Kejserens abdikation,Bombningen af Pearl Harbor
Verdenskrig historie,"Hvad var navnet på den alliance mellem Tyskland, Italien og Japan under Anden Verdenskrig?",400,Aksemagterne,Ententen,Triple Alliance,NATO
Verdenskrig historie,Hvilket land blev invaderet af Tyskland den 1. september 1939?,500,Polen,Frankrig,Belgien,Danmark
Verdenskrig historie,Hvilken by blev udsat for et atombombenedslag den 6. august 1945?,600,Hiroshima,Nagasaki,Tokyo,Osaka
Verdenskrig historie,"Hvilken britisk premierminister er berømt for talen ""We shall fight on the beaches""?",700,Winston Churchill,Neville Chamberlain,Anthony Eden,Clement Attlee
Verdenskrig historie,Hvad hedde invasionen i Normandiet den 6. juni 1944?,800,D-Dag,Operation Barbarossa,Blitzkrieg,Market Garden
Verdenskrig historie,Hvilket land var leder af de allierede i Stillehavskrigen?,900,USA,Kina,Sovjetunionen,Australien
Verdenskrig historie,Hvilken fransk militær ledte modstandsbevægelsen og senere præsident?,1000,Charles de Gaulle,Philippe Pétain,Napoleon III,Jacques Chirac
