Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Verdenskrig historie,I hvilket år begyndte Første Verdenskrig?,100,1914,1918,1939,1905
Verdenskrig historie,Hvad hed den tyske kejser under Første Verdenskrig?,200,Kejser Wilhelm II,Otto von Bismarck,Kejser Franz Joseph,Kejser Karl I
Verdenskrig historie,Hvilken begivenhed udløste Første Verdenskrig?,300,Mordet på Franz Ferdinand,Invasionen af Polen,Kejserens abdikation,Bombningen af Pearl Harbor
Verdenskrig historie,"Hvad var navnet på den alliance mellem Tyskland, Italien og Japan under Anden Verdenskrig?",400,Aksemagterne,Ententen,Triple Alliance,NATO
Verdenskrig historie,Hvilket land blev invaderet af Tyskland den 1. september 1939?,500,Polen,Frankrig,Belgien,Danmark
Verdenskrig historie,Hvilken by blev udsat for et atombombenedslag den 6. august 1945?,600,Hiroshima,Nagasaki,Tokyo,Osaka
Verdenskrig historie,"Hvilken britisk premierminister er berømt for talen ""We shall fight on the beaches""?",700,Winston Churchill,Neville Chamberlain,Anthony Eden,Clement Attlee
Verdenskrig historie,Hvad hedde invasionen i Normandiet den 6. juni 1944?,800,D-Dag,Operation Barbarossa,Blitzkrieg,Market Garden
Verdenskrig historie,Hvilket land var leder af de allierede i Stillehavskrigen?,900,USA,Kina,Sovjetunionen,Australien
Verdenskrig historie,Hvilken fransk militær ledte modstandsbevægelsen og senere præsident?,1000,Charles de Gaulle,Philippe Pétain,Napoleon III,Jacques Chirac
Verdenskrig historie,Hvilken tysk by var rammen om retssager mod nazister efter krigen?,1100,Nürnberg,Berlin,Frankfurt,Dresden
Verdenskrig historie,"Hvad kaldtes flyvebladet, der landede med faldskærme over Danmark i 1944?",1200,Illegal Blade,Operation Carpet,Proklamation 95,Lunch pakke
Verdenskrig historie,Hvad hed den hemmelige kode maskine brugt af tyskerne?,1300,Enigma,Colossus,Ultra,Bombes
Verdenskrig historie,Hvilket slag regnes som vendepunktet på østfronten under Anden Verdenskrig?,1400,Slaget ved Stalingrad,Slaget ved Kursk,Slaget ved Moskva,Slaget ved Berlin
Verdenskrig historie,Hvem var den amerikanske præsident under det meste af Anden Verdenskrig?,1500,Franklin D. Roosevelt,Harry S. Truman,Dwight Eisenhower,Herbert Hoover
Verdenskrig historie,Hvad hed den linje af befæstninger bygget af Frankrig mod Tyskland mellem krigene?,1600,Maginotlinjen,Siegfriedlinjen,Westwall,Gotiske linje
Verdenskrig historie,Hvilket parti kom Adolf Hitler til magten med?,1700,NSDAP,SPD,CDU,KPD
Verdenskrig historie,Hvilken landsdel i Danmark blev besat af Tyskland før resten af landet i april 1940?,1800,Sønderjylland,Bornholm,Fyn,Sjælland
Verdenskrig historie,Hvad var kodenavnet for Tysklands invasion af Sovjetunionen i 1941?,1900,Operation Barbarossa,Operation Bagration,Operation Uranus,Operation Overlord
Verdenskrig historie,"Hvilken organisation blev oprettet i 1945 for at sikre fred, og hvor Danmark er medlem?",2000,De Forenede Nationer,NATO,EU,League of Nations
Verdenskrig historie,Hvilket land blev delt i øst og vest efter Anden Verdenskrig?,2100,Tyskland,Korea,Polen,Ungarn
Verdenskrig historie,Hvilken havn i Hawaii blev bombet af japanerne i 1941?,2200,Pearl Harbor,Honolulu,Midway,Guam
Verdenskrig historie,Hvilket land sluttede sig til de allierede i 1941 efter at være blevet invaderet af Tyskland?,2300,Sovjetunionen,Spanien,Sverige,Turkiet
Verdenskrig historie,Hvad kaldtes den danske modstandsgruppe ledet af Søren Kamm og Bent Faurschou-Hviid?,2400,Holger Danske,Hvidstengruppen,De Frie Danske,Frihedskæmperne
Verdenskrig historie,"Hvilket dokument blev underskrevet den 7. maj 1945, der afsluttede krigen i Europa?",2500,Tysklands ubetingede kapitulation,Versailles-traktaten,Jalta-aftalen,Münchenaftalen
