Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Engelsk,Hvad er hovedstaden i Storbritannien?,100,London,Manchester,Birmingham,Liverpool
Engelsk,"Hvilken engelsksproget forfatter skrev ""Hamlet""?",200,William Shakespeare,Charles Dickens,Jane Austen,George Orwell
Engelsk,"Hvilket land fejrer ""Independence Day"" den 4. juli?",300,USA,Storbritannien,Canada,Australien
Engelsk,"Hvad hedder dronningen af Storbritannien, der regerede fra 1952 til 2022?",400,Elizabeth II,Victoria,Anne,Mary II
Engelsk,Hvad er navnet på Englands største flod?,500,Themsen,Rhone,Severn,Clyde
Engelsk,Hvad hedder valutaen i Storbritannien?,600,Britiske pund,Euro,Dollar,Krone
Engelsk,"Hvilken amerikansk by er kendt som ""The Big Apple""?",700,New York,Los Angeles,Chicago,San Francisco
Engelsk,Hvilket sprog er officielt i Australien?,800,Engelsk,Fransk,Spansk,Kinesisk
Engelsk,Hvad hedder den britiske nationalret med fritter?,900,Fish and chips,Bangers and mash,Scones,Yorkshire pudding
Engelsk,"Hvilket engelsk ord betyder ""farve"" på amerikansk?",1000,color,colour,hue,dye
Engelsk,Hvad hedder den engelske nationalsang?,1100,God Save the King,Rule Britannia,Land of Hope and Glory,Jerusalem
Engelsk,"Hvem skrev romanen ""1984""?",1200,George Orwell,Aldous Huxley,J.K. Rowling,Mark Twain
Engelsk,Hvad hedder den britiske Premier League-klub fra Liverpool?,1300,Liverpool FC,Chelsea FC,Manchester City,Arsenal
Engelsk,"Hvad betyder det engelske ord ""library""?",1400,Bibliotek,Skole,Museum,Bageri
Engelsk,Hvilken ø er delt mellem Irland og Storbritannien?,1500,Irland,Sicilien,Kreta,Madagascar
Engelsk,Hvem var Storbritanniens premierminister under 2. verdenskrig?,1600,Winston Churchill,Neville Chamberlain,Anthony Eden,Clement Attlee
Engelsk,Hvad hedder den engelske juledessert med tørret frugt?,1700,Christmas pudding,Crème brûlée,Trifle,Cheesecake
Engelsk,"Hvilket land kaldes ""The Land Down Under""?",1800,Australien,New Zealand,Canada,Irland
Engelsk,"Hvad betyder ordet ""biscuit"" i britisk engelsk?",1900,Kiks,Kage,Brød,Slik
Engelsk,Hvad hedder byen med den berømte bro Tower Bridge?,2000,London,Oxford,Bath,Exeter
Engelsk,Hvad hedder Englands nationalblomst?,2100,Rose,Tulipan,Thistle,Nellike
Engelsk,"Hvem skrev romanen ""Pride and Prejudice""?",2200,Jane Austen,Virginia Woolf,Emily Brontë,Agatha Christie
Engelsk,"Hvad betyder det engelske ord ""autumn"" på amerikansk?",2300,fall,summer,spring,winter
Engelsk,"Hvilket engelsk ord betyder ""ven""?",2400,friend,enemy,stranger,teacher
Engelsk,Hvad hedder hovedstaden i Canada?,2500,Ottawa,Toronto,Montreal,Vancouver
