Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Matematik,Hvad er summen af 7 og 8?,100,15,14,16,13
Matematik,Hvad er forskellen mellem 20 og 5?,200,15,25,10,12
Matematik,Hvad er 9 gange 6?,300,54,45,64,56
Matematik,Hvad er kvadratroden af 81?,400,9,8,7,6
Matematik,Hvad er resultatet af 48 divideret med 8?,500,6,8,5,7
Matematik,Hvad er summen af vinklerne i en trekant?,600,180 grader,90 grader,270 grader,360 grader
Matematik,Hvilket tal er et primtal?,700,13,15,21,27
Matematik,Hvad er 5 % af 200?,800,10,5,20,15
Matematik,Hvad er 12 plus 15?,900,27,26,28,24
Matematik,Hvad er 10^3?,1000,1000,100,10000,1110
Matematik,"Hvad er medianen i tallene 3, 7, 9?",1100,7,3,5,9
Matematik,Hvad er omkredsen af en firkant med side 4?,1200,16,8,12,20
Matematik,Hvad er differensen mellem 100 og 37?,1300,63,73,57,67
Matematik,Hvad er 14 gange 3?,1400,42,36,39,48
Matematik,Hvad er 64 delt med 4?,1500,16,8,24,12
Matematik,Hvad er arealet af en retvinklet trekant med kateterne 3 og 4?,1600,6,12,7,5
Matematik,Hvad er 11 plus 22?,1700,33,32,34,31
Matematik,Hvilket tal kommer efter 999?,1800,1000,9999,1001,990
Matematik,Hvad er summen af de første fem positive heltal?,1900,15,10,20,12
Matematik,Hvad er 8^2?,2000,64,16,32,72
Matematik,Hvad er decimalformen af en halv?,2100,0.5,0.25,0.75,0.2
Matematik,Hvad er gennemsnittet af 4 og 10?,2200,7,6,8,9
Matematik,Hvad er resultatet af 0 multipliceret med 100?,2300,0,100,1,10
Matematik,Hvad er 3 kvadreret?,2400,9,6,12,3
Matematik,Hvad er summen af vinklerne i en firkant?,2500,360 grader,180 grader,270 grader,540 grader
