Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Spansk,Hvad er hovedstaden i Spanien?,100,Madrid,Barcelona,Valencia,Sevilla
Spansk,Hvilket sprog tales i Spanien udover spansk i Catalonien?,200,Catalansk,Baskisk,Galicisk,Portugisisk
Spansk,Hvilken spansk øgruppe ligger i Atlanterhavet ud for Afrikas kyst?,300,De Kanarieske Øer,Balearerne,Sardinien,Sicilien
Spansk,"Hvem malede ""Guernica""?",400,Pablo Picasso,Salvador Dalí,Francisco Goya,Diego Velázquez
Spansk,Hvad hedder Spaniens kendte risret med skaldyr?,500,Paella,Tapas,Tortilla española,Gazpacho
Spansk,Hvilken spansk fest indebærer løb med tyre i Pamplona?,600,San Fermín,La Tomatina,Las Falles,Carnaval
Spansk,Hvad hedder den spanske nationalsang?,700,Marcha Real,La Marseillaise,God Save the Queen,Himno de Riego
Spansk,Hvilken ø er kendt som festø i Spanien?,800,Ibiza,Menorca,Gran Canaria,Tenerife
Spansk,"Hvilket sprog betyder ""hola""?",900,hej,farvel,tak,venligst
Spansk,Hvad hedder øgruppen hvor Mallorca ligger?,1000,Balearerne,De Kanarieske Øer,Sicilien,Sardinien
Spansk,"Hvem skrev romanen ""Don Quijote""?",1100,Miguel de Cervantes,Gabriel García Márquez,Mario Vargas Llosa,Federico García Lorca
Spansk,"Hvad betyder det spanske ord ""gracias""?",1200,tak,hej,farvel,undskyld
Spansk,Hvilket land deler den Iberiske halvø med Spanien?,1300,Portugal,Frankrig,Andorra,Italien
Spansk,Hvad hedder Spaniens konglige palads i Madrid?,1400,Palacio Real,Alhambra,Sagrada Familia,Escorial
Spansk,Hvilket spansk hold har hjemmebane på Camp Nou?,1500,FC Barcelona,Real Madrid,Sevilla FC,Valencia CF
Spansk,Hvad er navnet på den spanske dans med klap og rytme?,1600,Flamenco,Tango,Salsa,Mambo
Spansk,Hvad hedder Spaniens højeste bjerg på Tenerife?,1700,Teide,Aneto,Mont Blanc,Etna
Spansk,"Hvad betyder det spanske ord ""amigo""?",1800,ven,fjende,bror,far
Spansk,Hvilket land i Sydamerika taler spansk og grænser til Ecuador og Chile?,1900,Peru,Colombia,Argentina,Venezuela
Spansk,Hvad hedder Spaniens kongelige hovedstad i middelalderen før Madrid?,2000,Toledo,Granada,Sevilla,Burgos
Spansk,Hvad hedder den spanske kunstner kendt for surrealistiske malerier med smeltende ure?,2100,Salvador Dalí,Joan Miró,Diego Velázquez,Francisco Goya
Spansk,Hvilket sprog tales i Baskerlandet udover spansk?,2200,Baskisk,Catalansk,Galicisk,Portugisisk
Spansk,Hvad hedder Spaniens største lufthavn?,2300,Barajas,El Prat,Sevilla San Pablo,Valencia Manises
Spansk,"Hvad betyder det spanske ord ""casa""?",2400,hus,bil,kage,skole
Spansk,Hvilken spansk ø er kendt for vulkanen El Teide?,2500,Tenerife,Gran Canaria,Lanzarote,Fuerteventura
Spansk,Hvad betyder det spanske ord “libro”?,2600,bog,frihed,bord,lys
Spansk,Hvad betyder “buenos días”?,2700,godmorgen,godnat,farvel,velbekomme
Spansk,Hvilken by er kendt for Sagrada Família?,2800,Barcelona,Madrid,Sevilla,Valencia
Spansk,Hvad betyder “comida”?,2900,mad,skole,strand,rejse
Spansk,Hvilket spansk ord betyder “vand”?,3000,agua,vino,pan,leche
