Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Naturvidenskab,Hvad hedder processen hvor planter omdanner sollys til energi?,100,Fotosyntese,Respiration,Forbrænding,Nedbrydning
Naturvidenskab,Hvad er vandets kemiske formel?,200,H2O,CO2,O2,CH4
Naturvidenskab,Hvad er Jordens yderste lag kaldet?,300,Skorpen,Mantlen,Kernen,Ozonlaget
Naturvidenskab,Hvilket dyr er kendt som det største på jorden?,400,Blåhval,Elefant,Kaskelothval,Næsehorn
Naturvidenskab,"Hvad kaldes den kraft, der trækker genstande mod jorden?",500,Tyngdekraft,Friktion,Magnetisme,Tryk
Naturvidenskab,Hvilket gas udgør størstedelen af Jordens atmosfære?,600,Nitrogen,Iltyd,Argon,Kulsyre
Naturvidenskab,Hvilket organ pumper blod rundt i kroppen?,700,Hjertet,Lungerne,Lever,Nyre
Naturvidenskab,Hvad er det kemiske symbol for guld?,800,Au,Ag,Fe,Cu
Naturvidenskab,"Hvad hedder den planet, der er tættest på solen?",900,Merkur,Venus,Mars,Jupiter
Naturvidenskab,Hvilken del af planten absorberer vand og næringsstoffer?,1000,Rødder,Blade,Stængel,Blomst
Naturvidenskab,"Hvad kaldes det, når et fast stof bliver til gas uden at smelte?",1100,Sublimation,Evaporation,Kondensering,Krystallisation
Naturvidenskab,Hvilken videnskabsmand formulerede tyngdeloven?,1200,Isaac Newton,Albert Einstein,Galileo Galilei,Nikola Tesla
Naturvidenskab,Hvilket organ i kroppen producerer insulin?,1300,Bugspytkirtlen,Leveren,Hjertet,Milten
Naturvidenskab,Hvad er det periodiske element med atomnummer 1?,1400,Hydrogen,Helium,Oxygen,Nitrogen
Naturvidenskab,Hvad kaldes den største planet i vores solsystem?,1500,Jupiter,Saturn,Neptun,Uranus
Naturvidenskab,Hvad hedder processen hvor væske bliver til gas?,1600,Evaporation,Kondensering,Sublimation,Krystallisering
Naturvidenskab,Hvilket sansorgan registrerer lyd?,1700,Øret,Øjet,Næsen,Huden
Naturvidenskab,Hvad kaldes studiet af arv og gener?,1800,Genetik,Botanik,Astronomi,Geologi
Naturvidenskab,Hvilket vitamin produceres i huden ved sollys?,1900,Vitamin D,Vitamin C,Vitamin B12,Vitamin A
Naturvidenskab,Hvad er symbol for jern i det periodiske system?,2000,Fe,Cu,Ag,Au
Naturvidenskab,"Hvad er navnet på den galakse, vores solsystem er en del af?",2100,Mælkevejen,Andromeda,Sombrero,Triangulum
Naturvidenskab,Hvilket dyr lægger æg men er et pattedyr?,2200,Næbdyr,Delfin,Flagermus,Kænguru
Naturvidenskab,"Hvad kaldes området i cellen, hvor DNA opbevares?",2300,Kernen,Cytoplasma,Ribosom,Mitokondrie
Naturvidenskab,Hvad er enheden for elektrisk strøm?,2400,Ampere,Volt,Ohm,Watt
Naturvidenskab,Hvad er blodets røde farvestof kaldet?,2500,Hæmoglobin,Myoglobin,Chlorofyl,Keratin
Naturvidenskab,Hvad kaldes overgangen fra gas til væske?,2600,Kondensering,Fordampning,Sublimation,Smeltning
Naturvidenskab,Hvilken enhed måler elektrisk spænding?,2700,Volt,Ampere,Ohm,Watt
Naturvidenskab,Hvad er lysets hastighed cirka i vakuum?,2800,300.000 km/s,30.000 km/s,3.000 km/s,300 km/s
Naturvidenskab,Hvilken celledel kaldes cellens kraftværk?,2900,Mitokondriet,Ribosomet,Cellevæggen,Kernen
Naturvidenskab,Hvad kaldes den metode hvor man opstiller og tester en forklaring?,3000,Hypoteseprøvning,Gætteri,Fortolkning,Memorering
