Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Verdens geografi,Hvad hedder verdens længste flod?,100,Nilen,Amazonas,Mississippi,Chang Jiang
Verdens geografi,Hvad er Afrikas højeste bjerg?,200,Kilimanjaro,Mount Kenya,Atlas,Toubkal
Verdens geografi,Hvad er hovedstaden i Canada?,300,Ottawa,Toronto,Vancouver,Montreal
Verdens geografi,Hvilket land har størst befolkning i verden?,400,Indien,USA,Kina,Rusland
Verdens geografi,Hvilken ørken er verdens største?,500,Sahara,Gobi,Kalahari,Arabiske ørken
Verdens geografi,Hvilket hav ligger mellem Afrika og Australien?,600,Det Indiske Ocean,Atlanterhavet,Stillehavet,Det Arktiske Ocean
Verdens geografi,Hvilket land består af over 17.000 øer?,700,Indonesien,Filippinerne,Japan,Maldiverne
Verdens geografi,Hvilket bjerg er verdens højeste?,800,Mount Everest,K2,Kangchenjunga,Lhotse
Verdens geografi,Hvilken flod flyder gennem Paris?,900,Seinen,Thames,Donau,Rhinen
Verdens geografi,Hvilket kontinent har flest lande?,1000,Afrika,Europa,Asien,Sydamerika
Verdens geografi,Hvad er hovedstaden i Australien?,1100,Canberra,Sydney,Melbourne,Perth
Verdens geografi,"Hvilket land er kendt som ""Solens land""?",1200,Japan,Kina,Taiwan,Thailand
Verdens geografi,Hvilket land har byerne Marseille og Lyon?,1300,Frankrig,Spanien,Italien,Tyskland
Verdens geografi,Hvilket hav ligger nord for Polen?,1400,Østersøen,Nordsøen,Sortehavet,Det Adriatiske hav
Verdens geografi,Hvilken ørken ligger i Kina og Mongoliet?,1500,Gobi,Sahara,Kalahari,Great Victoria
Verdens geografi,Hvilket land har Amazonas regnskov?,1600,Brasilien,Colombia,Venezuela,Peru
Verdens geografi,Hvilket land grænser både til Europa og Asien?,1700,Tyrkiet,Saudi-Arabien,Indien,Grækenland
Verdens geografi,Hvilket land har hovedstaden Buenos Aires?,1800,Argentina,Brasilien,Chile,Uruguay
Verdens geografi,Hvad er hovedstaden i Egypten?,1900,Kairo,Alexandria,Tripoli,Tunis
Verdens geografi,Hvilket land har byerne Zurich og Genève?,2000,Schweiz,Østrig,Tyskland,Frankrig
Verdens geografi,Hvilken ø er verdens største?,2100,Grønland,New Guinea,Borneo,Sumatra
Verdens geografi,"Hvilket land kaldes ""Kænguruens land""?",2200,Australien,Canada,New Zealand,Storbritannien
Verdens geografi,Hvilket hav ligger mellem Europa og Afrika?,2300,Det Middelhav,Atlanterhavet,Østersøen,Sortehavet
Verdens geografi,Hvilket land ligger syd for USA?,2400,Mexico,Canada,Cuba,Jamaica
Verdens geografi,Hvad hedder verdens største saltvandssø?,2500,Det Kaspiske Hav,Baikalsøen,Victoriasøen,Tanganyikasøen
Verdens geografi,Hvilket land har hovedstaden Nairobi?,2600,Kenya,Tanzania,Uganda,Etiopien
Verdens geografi,Hvad hedder bjergkæden mellem Frankrig og Spanien?,2700,Pyrenæerne,Alperne,Karpaterne,Appalacherne
Verdens geografi,Hvilket land har hovedstaden Seoul?,2800,Sydkorea,Nordkorea,Japan,Vietnam
Verdens geografi,Hvilket land er kendt for byen Casablanca?,2900,Marokko,Tunesien,Egypten,Algeriet
Verdens geografi,Hvilket hav ligger mellem Saudi-Arabien og Afrika?,3000,Det Røde Hav,Det Arabiske Hav,Persiske Golf,Middelhavet
