Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Intro,Hvad handler temaet jydsk historie og topografi primært om?,100,Jydsk historie og topografi,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med jydsk historie og topografi?,200,Jydsk,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev jydsk historie og topografi særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til jydsk historie og topografi?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om jydsk historie og topografi?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet jydsk historie og topografi primært om?,100,Jydsk historie og topografi,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med jydsk historie og topografi?,200,Jydsk,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev jydsk historie og topografi særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til jydsk historie og topografi?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om jydsk historie og topografi?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet jydsk historie og topografi primært om?,100,Jydsk historie og topografi,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med jydsk historie og topografi?,200,Jydsk,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev jydsk historie og topografi særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til jydsk historie og topografi?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om jydsk historie og topografi?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet jydsk historie og topografi primært om?,100,Jydsk historie og topografi,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med jydsk historie og topografi?,200,Jydsk,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev jydsk historie og topografi særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til jydsk historie og topografi?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om jydsk historie og topografi?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
Intro,Hvad handler temaet jydsk historie og topografi primært om?,100,Jydsk historie og topografi,Science,Sport,Litteratur,,,
Fakta,Hvilket af følgende ord er stærkt forbundet med jydsk historie og topografi?,200,Jydsk,Biler,Planter,Kunst,,,
Historie,I hvilket århundrede blev jydsk historie og topografi særlig vigtigt?,300,1900-tallet,1700-tallet,1500-tallet,2000-tallet,,,
Personer,Hvilken kendt person er relateret til jydsk historie og topografi?,400,Ukendt,Kendte,Historiker,Forfatter,,,
Sjove fakta,Hvad er en interessant kendsgerning om jydsk historie og topografi?,500,De er fascinerende,Intet særligt,Det er kedeligt,Ved ikke,,,
