Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Fransk,Hvad er hovedstaden i Frankrig?,100,Paris,Lyon,Marseille,Bordeaux
Fransk,Hvad hedder den franske nationalret med oksekød i vin?,200,Boeuf Bourguignon,Coq au vin,Ratatouille,Bouillabaisse
Fransk,"Hvilken fransk kunstner malede ""Mona Lisa""?",300,Leonardo da Vinci,Claude Monet,Vincent van Gogh,Pablo Picasso
Fransk,Hvilket tårn er et symbol på Paris?,400,Eiffeltårnet,Triumfbuen,Notre Dame,Louvre
Fransk,"Hvilket fransk ord betyder ""tak""?",500,Merci,Bonjour,S'il vous plaît,Au revoir
Fransk,Hvad hedder den franske nationaldag?,600,Bastilledagen,Armistice Day,Vincentdag,Epifani
Fransk,Hvilket land bruger fransk som officielt sprog udover Frankrig?,700,Belgien,Tyskland,Spanien,Italien
Fransk,Hvilken ost er opkaldt efter en fransk by og har grøn mug?,800,Roquefort,Brie,Comté,Camembert
Fransk,Hvad hedder valutasystemet i Frankrig?,900,Euro,Franc,Pund,Pesetas
Fransk,Hvilket fransk bilfirma laver modellen Clio?,1000,Renault,Peugeot,Citroën,Fiat
Fransk,Hvad hedder floden der løber gennem Paris?,1100,Seinen,Loire,Rhone,Saône
Fransk,"Hvem skrev romanen ""Les Misérables""?",1200,Victor Hugo,Honoré de Balzac,Marcel Proust,Émile Zola
Fransk,"Hvilket fransk udtryk betyder ""god appetit""?",1300,Bon appétit,Je m'appelle,Merci beaucoup,À bientôt
Fransk,Hvad hedder den franske region kendt for mousserende vin?,1400,Champagne,Bordeaux,Provence,Burgund
Fransk,Hvilken ø i Middelhavet er en fransk region og fødested for Napoleon?,1500,Ajaccio (Korsika),Sicilien,Sardinien,Malta
Fransk,Hvad hedder den franske nationalsang?,1600,La Marseillaise,Fratelli d'Italia,Die Wacht am Rhein,God Save the King
Fransk,"Hvilket fransk ord betyder ""ven""?",1700,ami,ennemi,loup,travail
Fransk,Hvad hedder Frankrigs højeste bjerg?,1800,Mont Blanc,Pic du Midi,Mont Ventoux,Dent du Midi
Fransk,Hvilket fransk firma er kendt for parfume og couture?,1900,Chanel,Nike,Hermès,BMW
Fransk,Hvilken fransk by er kendt for filmfestivalen i maj?,2000,Cannes,Paris,Marseille,Nice
Fransk,Hvad hedder dessertkagen lavet af små kugler i karamelsirup?,2100,Croquembouche,Éclair,Macaron,Tarte Tatin
Fransk,Hvad hedder fransk revolutionens motto?,2200,Liberté Égalité Fraternité,In God We Trust,Einigkeit und Recht und Freiheit,Paz y Justicia
Fransk,"Hvad hedder den franske konge, kendt som Solkongen?",2300,Louis XIV,Louis XVI,Charles X,Gustav III
Fransk,"Hvilket fransk ord betyder ""bjørnetjeneste""? (hint: falsk ven)",2400,piège,gâteau,triste,courage
Fransk,Hvilket fransk modehus grundlagde designeren Christian Dior?,2500,Dior,Chanel,Givenchy,Louis Vuitton
