Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Dansk litteratur,"Hvilken dansk forfatter skrev ""Den grimme ælling""?",100,H.C. Andersen,Karen Blixen,Martin A. Hansen,Tove Ditlevsen
Dansk litteratur,"Hvem skrev romanen ""Pelle Erobreren""?",200,Martin A. Hansen,Henrik Pontoppidan,Søren Kierkegaard,Herman Bang
Dansk litteratur,"Hvilken kvindelig forfatter skrev ""Barndommens Gade""?",300,Tove Ditlevsen,Karen Blixen,Suzanne Brøgger,Inger Christensen
Dansk litteratur,"Hvem skrev ""Lykke-Per""?",400,Henrik Pontoppidan,Herman Bang,H.C. Branner,Martin A. Hansen
Dansk litteratur,Hvilken dansk forfatter skrev under pseudonymet Isak Dinesen?,500,Karen Blixen,Tove Ditlevsen,Suzanne Brøgger,Else Holt
Dansk litteratur,"Hvem skrev dramaet ""Et dukkehjem""? (han var norsk men med stor indflydelse)",600,Henrik Ibsen,Adam Oehlenschläger,Ludvig Holberg,Johan L. Heiberg
Dansk litteratur,Hvilket værk handler om præsten Johannes Vig og hans liv?,700,Hærværk,Det forsømte forår,Niels Lyhne,De små ting
Dansk litteratur,"Hvem skrev ""Sommeren med Ellen"" og ""Knud den Store""?",800,Jørgen Frantz Jacobsen,Jens Smærup Sørensen,Jacob Paludan,Benny Andersen
Dansk litteratur,Hvad hedder digtsamlingen af Michael Strunge fra 1982?,900,Væbnet med vinger,Det voldsomme blod,Poesibogen,Skriften på væggen
Dansk litteratur,"Hvem skrev romanen ""Nordkraft""?",1000,Jakob Ejersbo,Leif Panduro,Carsten Jensen,Søren Ulrik Thomsen
Dansk litteratur,"Hvilken dansk forfatter er kendt for ""Løgneren"" og ""Sommerfugledalen""?",1100,Hans Schmidt Pedersen,Tom Kristensen,Klaus Rifbjerg,Michael Strunge
Dansk litteratur,"Hvem har skrevet børnebøgerne om ""Pelle Haleløs""? (svensk forfatter)",1200,Gösta Knutsson,Ole Lund Kirkegaard,Annie M.G. Schmidt,Lene Kaas
Dansk litteratur,Hvilket eventyr samler H.C. Andersen om en dreng med tændstikker?,1300,Pigen med svovlstikkerne,Den tapre tinsoldat,Tommelise,Snesdronningen
Dansk litteratur,"Hvem skrev romanen ""Mit møde med bruden"" (også kendt for lyrik)? ",1400,Flemming Jørgensen,Klaus Rifbjerg,Søren Ulrik Thomsen,Peter Høeg
Dansk litteratur,Hvilket værk af Peter Høeg blev en international bestseller?,1500,Frøken Smillas fornemmelse for sne,De Skjulte,Rejsende i stilhed,Jane til Samson
Dansk litteratur,"Hvem skrev romanen ""Profeterne i Evighedsfjorden""?",1600,Kim Leine,Jussi Adler-Olsen,Sara Blædel,Carsten Jensen
Dansk litteratur,"Hvilket forfatterpar står bag børnebøgerne om ""Halfdans ABC""?",1700,Halfdan Rasmussen og Ib Spang Olsen,Ole Lund Kirkegaard og Bent Haller,Hans Christian Andersen og Tegner Vilhelm,Steen Steensen Blicher og Nils Malmborg
Dansk litteratur,Hvem har skrevet krimiserien om vicekommissær Carl Mørck?,1800,Jussi Adler-Olsen,Sara Blædel,Elsebeth Egholm,Leif Davidsen
Dansk litteratur,Hvilken dansk poet modtog Nobelprisen i litteratur i 1944?,1900,Johannes V. Jensen,Herman Bang,Søren Kierkegaard,H.C. Andersen
Dansk litteratur,"Hvem er forfatteren bag ""Vi, de druknede""?",2000,Carsten Jensen,Helle Helle,Jacob Ejersbo,Hanne Vibeke Holst
Dansk litteratur,Hvad hedder Helle Helles debutroman fra 1993?,2100,Rester,Forestilling om et hjem,Min mor siger,Ned til hunden
Dansk litteratur,Hvilken forfatter skrev fantasy-serien om Alanna og sorttroldens guld?,2200,Josefine Ottesen,Caroline Lorenzen,Lene Kaaberbøl,Mette Finderup
Dansk litteratur,"Hvem skrev musik og tekst til ""Svantes viser""?",2300,Benny Andersen,Klaus Rifbjerg,Mogens Jensen,Poul Dissing
Dansk litteratur,"Hvilken forfatter skrev ungdomsromanerne ""Kærlighed ved første hik""?",2400,Erling Jepsen,Carsten Jensen,Michael Lentz,Anna Grue
Dansk litteratur,Hvilket pseudonym brugte Karen Blixen på engelsk?,2500,Isak Dinesen,George Eliot,Mark Twain,Erich Fromm
Dansk litteratur,Hvem skrev romanen “Det forsømte forår”?,2600,Hans Scherfig,Klaus Rifbjerg,Helle Helle,Leif Panduro
Dansk litteratur,Hvilken forfatter skrev “Den kroniske uskyld”?,2700,Klaus Rifbjerg,Tove Ditlevsen,Peter Høeg,Henrik Pontoppidan
Dansk litteratur,Hvem skrev romanen “Pelle Erobreren”?,2800,Martin Andersen Nexø,Henrik Pontoppidan,Herman Bang,Tom Kristensen
Dansk litteratur,Hvilken digter skrev “Sommerfugledalen”?,2900,Inger Christensen,Maja Lee Langvad,Yahya Hassan,Michael Strunge
Dansk litteratur,Hvem skrev fortællingen “Babettes gæstebud”?,3000,Karen Blixen,Helle Helle,Tove Ditlevsen,Suzanne Brøgger
