Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar
Guder,"Hvad hedder guden i nordisk mytologi, som rider på den ottebenede hest Sleipner og anses for den øverste gud?",100,Odin,Thor,Loke,Frej,,,
Verdensbillede,"Hvad hedder verdenstræet, der står i centrum af Asgård og forbinder forskellige verdener?",200,Yggdrasil,Bifrost,Midgård,Valhal,,,
Guder,Hvilken gud er kendt for sin styrke og for at bekæmpe jætterne?,300,Thor,Balder,Frej,Hel,,,
Guder,Hvilken gudinde i nordisk mytologi er forbundet med frugtbarhed og seksualitet?,400,Freyja,Idun,Skadi,Sigyn,,,
Ragnarok,Ved Ragnarok blæser Heimdal i sit horn for at advare aserne. Hvad hedder hornet?,500,Gjallarhorn,Bifrost,Mjød,Sleipner,,,
Guder,"Hvad hedder guden i nordisk mytologi, som rider på den ottebenede hest Sleipner og anses for den øverste gud?",100,Odin,Thor,Loke,Frej,,,
Verdensbillede,"Hvad hedder verdenstræet, der står i centrum af Asgård og forbinder forskellige verdener?",200,Yggdrasil,Bifrost,Midgård,Valhal,,,
Guder,Hvilken gud er kendt for sin styrke og for at bekæmpe jætterne?,300,Thor,Balder,Frej,Hel,,,
Guder,Hvilken gudinde i nordisk mytologi er forbundet med frugtbarhed og seksualitet?,400,Freyja,Idun,Skadi,Sigyn,,,
Ragnarok,Ved Ragnarok blæser Heimdal i sit horn for at advare aserne. Hvad hedder hornet?,500,Gjallarhorn,Bifrost,Mjød,Sleipner,,,
