Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Kemi,Hvad er symbolet for natrium?,100,Na,N,S,Sn
Kemi,Hvad er det letteste element?,200,Hydrogen,Helium,Lithium,Neon
Kemi,Hvad er atomnummeret for kulstof?,300,6,8,12,14
Kemi,Hvilket metal har symbolet Fe?,400,Jern,Kobber,Guld,Sølv
Kemi,Hvilket element er flydende ved stuetemperatur udover kviksølv?,500,Brom,Chlor,Cæsium,Francium
Kemi,Hvad er det kemiske symbol for kalium?,600,K,Ca,P,Kr
Kemi,Hvilket grundstof har atomnummer 79?,700,Guld,Sølv,Kobber,Platin
Kemi,Hvilket grundstof danner diamant og grafit?,800,Kulstof,Silicium,Svovl,Oxid
Kemi,Hvad er symbolet for helium?,900,He,Hg,H,Ho
Kemi,Hvilket grundstof bruges i blyanter?,1000,Kulstof,Bly,Jern,Magnesium
Kemi,Hvad er symbolet for sølv?,1100,Ag,Au,Pt,Pb
Kemi,Hvilket element gør havvand salt?,1200,Natrium og klor,Magnesium og kalcium,Kalium og fluor,Svovl og fosfor
Kemi,Hvad er kemisk formel for ozon?,1300,O3,O2,CO2,N2O
Kemi,Hvilket metal er mest udbredt i jordskorpen?,1400,Aluminium,Jern,Silicium,Kobber
Kemi,Hvilket element giver blod sin røde farve?,1500,Jern,Calcium,Magnesium,Kobolt
Kemi,Hvad er symbolet for neon?,1600,Ne,N,F,Ni
Kemi,Hvilket element bruges i termometre men er giftigt?,1700,Kviksølv,Bly,Arsen,Plutonium
Kemi,Hvad er det kemiske symbol for platin?,1800,Pt,Pb,Po,Pm
Kemi,Hvad kaldes gruppe 18 i det periodiske system?,1900,Ædelgasser,Alkalimetaller,Halogener,Overgangsmetaller
Kemi,Hvilket grundstof er nødvendigt for stærke knogler?,2000,Calcium,Jern,Natrium,Brom
Kemi,Hvad er symbolet for uran?,2100,U,Un,Ur,Urn
Kemi,Hvad er symbolet for magnesium?,2200,Mg,Mn,Ma,Me
Kemi,Hvilket element har atomnummer 1?,2300,Hydrogen,Helium,Lithium,Beryllium
Kemi,Hvad er symbolet for fosfor?,2400,P,F,Pb,Po
Kemi,Hvilket element danner bord salt sammen med natrium?,2500,Klor,Svovl,Jod,Brom
Kemi,Hvad er symbolet for kobber?,2600,Cu,Co,K,Cr
Kemi,Hvilket grundstof har symbolet Si?,2700,Silicium,Sølv,Svovl,Selen
Kemi,Hvad er den almindelige formel for kuldioxid?,2800,CO2,CO,C2O,O2C2
Kemi,Hvilket grundstof har symbolet Pb?,2900,Bly,Platin,Fosfor,Polonium
Kemi,Hvad kaldes stoffer med pH under 7?,3000,Syrer,Baser,Salte,Metaller
