Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Fransk,Hvad er hovedstaden i Frankrig?,100,Paris,Lyon,Marseille,Bordeaux
Fransk,Hvilket berømt tårn står i Paris?,200,Eiffeltårnet,Triumfbuen,Notre-Dame,Sacré-Cœur
Fransk,Hvilket museum i Paris huser Mona Lisa?,300,Louvre,Musée d’Orsay,Centre Pompidou,Versailles
Fransk,Hvad betyder det franske ord “bonjour”?,400,goddag,farvel,tak,undskyld
Fransk,Hvad betyder “merci” på dansk?,500,tak,hej,farvel,ja
Fransk,Hvilken fransk flod løber gennem Paris?,600,Seinen,Loire,Rhinen,Donau
Fransk,Hvad hedder Frankrigs nationaldag?,700,Bastilledagen,Republikdagen,Midsommerdagen,Frihedsdagen
Fransk,Hvilken farve indgår både i det franske og danske flag?,800,rød,grøn,gul,orange
Fransk,Hvad hedder den franske nationalsang?,900,La Marseillaise,God Save the King,Marcha Real,Il Canto degli Italiani
Fransk,Hvilken fransk region er kendt for mousserende vin?,1000,Champagne,Normandiet,Bretagne,Alsace
Fransk,Hvad betyder “au revoir”?,1100,farvel,godmorgen,tak,velbekomme
Fransk,Hvilket fransk ord betyder “ven”?,1200,ami,livre,maison,chat
Fransk,Hvilken by er kendt for filmfestivalen i maj?,1300,Cannes,Lille,Dijon,Nantes
Fransk,Hvilket bjerg er Frankrigs og Alpernes højeste?,1400,Mont Blanc,Mont Ventoux,Pic du Midi,Puy de Dôme
Fransk,Hvilken ø i Middelhavet hører til Frankrig?,1500,Korsika,Sicilien,Mallorca,Kreta
Fransk,Hvem skrev romanen Les Misérables?,1600,Victor Hugo,Émile Zola,Molière,Jules Verne
Fransk,Hvilken fransk forfatter skrev Jorden rundt i 80 dage?,1700,Jules Verne,Victor Hugo,Marcel Proust,Albert Camus
Fransk,Hvad betyder “s’il vous plaît”?,1800,vær så venlig,farvel,jeg hedder,god appetit
Fransk,Hvilken fransk ret består ofte af grøntsager fra Provence?,1900,ratatouille,paella,risotto,gullasch
Fransk,Hvilken fransk ost er blød og kommer ofte i rund form?,2000,brie,cheddar,feta,gouda
