Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3
Sport og OL,Hvilken by var vært for de første moderne OL i 1896?,100,Athen,Paris,London,Rom
Sport og OL,"Hvad hedder den disciplin, hvor man kaster et spyd?",200,Spydkast,Diskoskast,Kuglestød,Højdespring
Sport og OL,Hvilken dansk svømmer vandt guld på 50 m fri ved OL i 2016?,300,Pernille Blume,Jeanette Ottesen,Lotte Friis,Mette Jacobsen
Sport og OL,Hvilket land har vundet flest OL-guldmedaljer gennem tiderne?,400,USA,Kina,Rusland,Tyskland
Sport og OL,"Hvad hedder den olympiske fakkelceremoni, hvor ilden tændes?",500,Åbningsceremonien,Aflæggelsen af eden,Sejrsfesten,Slutceremonien
Sport og OL,Hvilket dansk håndboldlandshold vandt OL-guld i 2016?,600,Danmarks herrelandshold,Danmarks kvindelandshold,Frankrigs landshold,Norges landshold
Sport og OL,"Hvad hedder den olympiske disciplin, hvor man kører på is i en bob?",700,Bobslæde,Luge,Skihop,Curling
Sport og OL,Hvilket land var vært for vinter-OL i 2022?,800,Kina,Japan,Canada,Rusland
Sport og OL,"Hvilken dansk roer er kendt for flere OL-guldmedaljer?",900,Eskild Ebbesen,Pernille Blume,Viktor Axelsen,Michael Laudrup
Sport og OL,Hvilket spil foregår på is med sten og koste?,1000,Curling,Ishockey,Skiskydning,Bobslæde
Sport og OL,Hvilken atlet slog rekorden med 8 OL-guld på én olympiade i 2008?,1100,Michael Phelps,Usain Bolt,Carl Lewis,Ian Thorpe
Sport og OL,Hvilket land har vundet flest VM-titler i fodbold?,1200,Brasilien,Tyskland,Italien,Argentina
Sport og OL,"Hvad hedder den danske cykelrytter, der vandt Tour de France 2022?",1300,Jonas Vingegaard,Michael Rasmussen,Bjarne Riis,Rasmus Pedersen
Sport og OL,Hvilken disciplin kombinerer langrend og skiskydning?,1400,Biathlon,Nordisk kombination,Skihop,Snowboard
Sport og OL,Hvad hedder den mest prestigefyldte tennisturnering i England?,1500,Wimbledon,US Open,Roland Garros,Australian Open
